ID	Kingdom	Phylum	Fungal_Class	Order	Family	Genus
Fusarium_phyllophilum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_poae	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_proliferatum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_pseudoanthophilum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_pseudocircinatum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_pseudograminearum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_redolens	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_sarcochroum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_solani	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_sp_AF-4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_sp_AF-6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_sp_AF-8	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_sp_DS_682	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_sp_MPI-SDFR-AT-0072	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_sp_NRRL_25303	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_sp_NRRL_52700	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_sp_NRRL_66182	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
Fusarium_sporotrichioides	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
